node,embed
0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,"[0.052098095417022705, -0.009889824315905571, 0.1831657439470291, 0.12907128036022186, 0.246075838804245, -0.012487287633121014, 0.04531985521316528, 0.07663071900606155, -0.09576920419931412, 0.022284865379333496, -0.060231175273656845, 0.17355242371559143, 0.11329396069049835, -0.009700859896838665, 0.121832475066185, -0.0025623678229749203, -0.02717737667262554, -0.08009786903858185, -0.045389994978904724, -0.03783244267106056, -0.0930691808462143, 0.009002032689750195, 0.006582396570593119, 0.1844729334115982, 0.13098649680614471, -0.04206523671746254, 0.05684499815106392, 0.23574665188789368, -0.12184815853834152, 0.1942339539527893, -0.18373164534568787, 0.020090708509087563, -0.2433592975139618, 0.016394516453146935, -0.16845235228538513, 0.21413639187812805, -0.030930794775485992, 0.10298248380422592, -0.16354575753211975, -0.004311937838792801, 0.10058712214231491, 0.015500698238611221, -0.05996522307395935, 0.17458362877368927, 0.09057436883449554, -0.09326448291540146, -0.14195632934570312, 0.19288119673728943, -0.16757072508335114, -0.06732305139303207, -0.04222409799695015, 0.08821996301412582, -0.2095557600259781, -0.00017184288299176842, 0.14251559972763062, 0.22552643716335297, 0.003292109351605177, 0.19971327483654022, 0.22519712150096893, -0.041360966861248016, -0.03584698215126991, -0.17278419435024261, -0.02849346213042736, -0.13014644384384155]"
0xdad0b957bd4ecdb1f8b6d2608947ff2282cf856c,"[-0.07150448858737946, 0.07540947943925858, -0.012613050639629364, 0.09745194762945175, 0.21582511067390442, -0.0006186821847222745, -0.09203564375638962, 0.10834325104951859, -0.09971354156732559, 0.10919204354286194, -0.09314672648906708, 0.011400490999221802, 0.09490001201629639, -0.0016534851165488362, 0.07176176458597183, -0.04874379560351372, -0.034733712673187256, 0.09540258347988129, 0.03181750699877739, -0.10770317912101746, -0.09641464799642563, -0.06232021749019623, -0.16953790187835693, 0.14477252960205078, 0.04683569073677063, 0.04674464091658592, 0.1288003921508789, 0.20640774071216583, -0.02659577503800392, 0.19150392711162567, -0.14126625657081604, 0.07143580913543701, -0.06310252845287323, 0.061020176857709885, -0.14390766620635986, 0.17784015834331512, -0.018148956820368767, 0.1648942530155182, -0.22454318404197693, -0.1269933134317398, 0.024981604889035225, 0.02101798728108406, -0.15903262794017792, 0.10220104455947876, -0.03429285064339638, 0.02781756781041622, -0.07291214913129807, 0.18557646870613098, 0.02900826744735241, -0.03664166107773781, 0.012394391931593418, -0.11266541481018066, -0.055677831172943115, -0.1369256228208542, 0.09911706298589706, 0.31328925490379333, -0.16163675487041473, 0.19995291531085968, 0.3410642147064209, -0.21584287285804749, 0.023308921605348587, -0.18057331442832947, 0.08083508908748627, -0.08694352954626083]"
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,"[-0.07157916575670242, 0.05929073691368103, -0.013407275080680847, 0.09862839430570602, 0.2058066725730896, 0.007556735537946224, -0.0927833691239357, 0.12222270667552948, -0.08024568855762482, 0.12228469550609589, -0.08539915084838867, 0.010674840770661831, 0.09580346941947937, -0.0026054575573652983, 0.07326026260852814, -0.0415174625813961, -0.04129411652684212, 0.10053028911352158, 0.026080776005983353, -0.10447359830141068, -0.08887023478746414, -0.06936366111040115, -0.16774144768714905, 0.14500641822814941, 0.05094762146472931, 0.04432109370827675, 0.11895689368247986, 0.21896910667419434, -0.034184057265520096, 0.18992266058921814, -0.13766121864318848, 0.06532184034585953, -0.05851025506854057, 0.06759301573038101, -0.13919374346733093, 0.18329265713691711, -0.018786562606692314, 0.15903638303279877, -0.2323281615972519, -0.11690562963485718, 0.025719504803419113, 0.00937345065176487, -0.16459684073925018, 0.09206467121839523, -0.043405354022979736, 0.029430348426103592, -0.07405371963977814, 0.18194055557250977, 0.0290126521140337, -0.04212917014956474, 0.01567862182855606, -0.11048472672700882, -0.07050324976444244, -0.15015125274658203, 0.10131518542766571, 0.3124510943889618, -0.16892684996128082, 0.18605217337608337, 0.34593871235847473, -0.2140152007341385, 0.02337057888507843, -0.17620621621608734, 0.07223185896873474, -0.10099819302558899]"
0x12b0f3843ba5d19cd3aa91fe1cb72605fa1d3925,"[-0.07992472499608994, 0.07173649221658707, -0.03347080200910568, 0.088997021317482, 0.1932043433189392, 0.012794281356036663, -0.07987791299819946, 0.11681000888347626, -0.08026567846536636, 0.1236242726445198, -0.09298642724752426, 0.015495789237320423, 0.09391805529594421, -0.0031076811719685793, 0.06422401964664459, -0.03479046747088432, -0.03840997442603111, 0.12064819782972336, 0.03659960255026817, -0.1028052419424057, -0.09561726450920105, -0.06174027547240257, -0.179439976811409, 0.15834173560142517, 0.05935513973236084, 0.030782101675868034, 0.12281771749258041, 0.20588341355323792, -0.04398695379495621, 0.17262540757656097, -0.12261395156383514, 0.047531288117170334, -0.058933135122060776, 0.047607749700546265, -0.13421288132667542, 0.1824422925710678, -0.011103798635303974, 0.14673848450183868, -0.22630858421325684, -0.13133803009986877, 0.033918268978595734, 0.026075277477502823, -0.1657673716545105, 0.1032089814543724, -0.03894646093249321, 0.010744358412921429, -0.06471385806798935, 0.17400924861431122, 0.03638383746147156, -0.020803093910217285, 0.0033153158146888018, -0.12664084136486053, -0.07257536798715591, -0.15618857741355896, 0.09033854305744171, 0.32615748047828674, -0.16377626359462738, 0.20387868583202362, 0.3502699136734009, -0.19753848016262054, 0.014278470538556576, -0.19086547195911407, 0.0851139947772026, -0.09376226365566254]"
0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea,"[0.052098095417022705, -0.009889824315905571, 0.1831657439470291, 0.12907128036022186, 0.246075838804245, -0.012487287633121014, 0.04531985521316528, 0.07663071900606155, -0.09576920419931412, 0.022284865379333496, -0.060231175273656845, 0.17355242371559143, 0.11329396069049835, -0.009700859896838665, 0.121832475066185, -0.0025623678229749203, -0.02717737667262554, -0.08009786903858185, -0.045389994978904724, -0.03783244267106056, -0.0930691808462143, 0.009002032689750195, 0.006582396570593119, 0.1844729334115982, 0.13098649680614471, -0.04206523671746254, 0.05684499815106392, 0.23574665188789368, -0.12184815853834152, 0.1942339539527893, -0.18373164534568787, 0.020090708509087563, -0.2433592975139618, 0.016394516453146935, -0.16845235228538513, 0.21413639187812805, -0.030930794775485992, 0.10298248380422592, -0.16354575753211975, -0.004311937838792801, 0.10058712214231491, 0.015500698238611221, -0.05996522307395935, 0.17458362877368927, 0.09057436883449554, -0.09326448291540146, -0.14195632934570312, 0.19288119673728943, -0.16757072508335114, -0.06732305139303207, -0.04222409799695015, 0.08821996301412582, -0.2095557600259781, -0.00017184288299176842, 0.14251559972763062, 0.22552643716335297, 0.003292109351605177, 0.19971327483654022, 0.22519712150096893, -0.041360966861248016, -0.03584698215126991, -0.17278419435024261, -0.02849346213042736, -0.13014644384384155]"
0xf94b5c5651c888d928439ab6514b93944eee6f48,"[0.052098095417022705, -0.009889824315905571, 0.1831657439470291, 0.12907128036022186, 0.246075838804245, -0.012487287633121014, 0.04531985521316528, 0.07663071900606155, -0.09576920419931412, 0.022284865379333496, -0.060231175273656845, 0.17355242371559143, 0.11329396069049835, -0.009700859896838665, 0.121832475066185, -0.0025623678229749203, -0.02717737667262554, -0.08009786903858185, -0.045389994978904724, -0.03783244267106056, -0.0930691808462143, 0.009002032689750195, 0.006582396570593119, 0.1844729334115982, 0.13098649680614471, -0.04206523671746254, 0.05684499815106392, 0.23574665188789368, -0.12184815853834152, 0.1942339539527893, -0.18373164534568787, 0.020090708509087563, -0.2433592975139618, 0.016394516453146935, -0.16845235228538513, 0.21413639187812805, -0.030930794775485992, 0.10298248380422592, -0.16354575753211975, -0.004311937838792801, 0.10058712214231491, 0.015500698238611221, -0.05996522307395935, 0.17458362877368927, 0.09057436883449554, -0.09326448291540146, -0.14195632934570312, 0.19288119673728943, -0.16757072508335114, -0.06732305139303207, -0.04222409799695015, 0.08821996301412582, -0.2095557600259781, -0.00017184288299176842, 0.14251559972763062, 0.22552643716335297, 0.003292109351605177, 0.19971327483654022, 0.22519712150096893, -0.041360966861248016, -0.03584698215126991, -0.17278419435024261, -0.02849346213042736, -0.13014644384384155]"
0x66761fa41377003622aee3c7675fc7b5c1c2fac5,"[0.05209808796644211, -0.0098898159340024, 0.1831657737493515, 0.12907129526138306, 0.2460758537054062, -0.012487283907830715, 0.04531985521316528, 0.07663070410490036, -0.09576915204524994, 0.022284893319010735, -0.06023117154836655, 0.17355242371559143, 0.11329399049282074, -0.009700900875031948, 0.121832475066185, -0.0025623489636927843, -0.027177361771464348, -0.08009781688451767, -0.04539000615477562, -0.037832457572221756, -0.0930691584944725, 0.009001994505524635, 0.006582355592399836, 0.184472918510437, 0.13098646700382233, -0.04206523671746254, 0.05684499070048332, 0.2357466071844101, -0.12184818834066391, 0.1942339539527893, -0.18373166024684906, 0.020090723410248756, -0.24335934221744537, 0.016394495964050293, -0.16845232248306274, 0.21413639187812805, -0.030930781736969948, 0.1029825359582901, -0.16354575753211975, -0.0043119583278894424, 0.1005871519446373, 0.015500657260417938, -0.059965211898088455, 0.17458365857601166, 0.09057436883449554, -0.09326448291540146, -0.1419563740491867, 0.192881241440773, -0.16757071018218994, -0.06732305139303207, -0.04222416505217552, 0.08821996301412582, -0.2095557451248169, -0.0001717943960102275, 0.14251556992530823, 0.22552643716335297, 0.0032920888625085354, 0.19971324503421783, 0.22519713640213013, -0.041360966861248016, -0.035846956074237823, -0.17278416454792023, -0.028493482619524002, -0.13014647364616394]"
0x741e97e4d946286b5f9495952c46de0620dcfedc,"[-0.07313469052314758, 0.07157400250434875, -0.014445612207055092, 0.09801381081342697, 0.21364016830921173, 0.0005756911123171449, -0.09320487082004547, 0.11277361214160919, -0.09552641212940216, 0.11422879993915558, -0.0893964096903801, 0.010362237691879272, 0.0952426865696907, -0.0024390756152570248, 0.07131028175354004, -0.04816504195332527, -0.03666776418685913, 0.09725350886583328, 0.030791491270065308, -0.10586390644311905, -0.09443650394678116, -0.065606489777565, -0.16833877563476562, 0.14287638664245605, 0.0491882748901844, 0.04677792266011238, 0.12624479830265045, 0.20833998918533325, -0.027195222675800323, 0.19129009544849396, -0.13891835510730743, 0.06887512654066086, -0.06000319495797157, 0.06138235703110695, -0.1417122334241867, 0.1800088882446289, -0.018430005759000778, 0.16267338395118713, -0.22729350626468658, -0.12414918839931488, 0.023690251633524895, 0.01824868842959404, -0.16200868785381317, 0.10043089836835861, -0.037307851016521454, 0.02906910702586174, -0.07325379550457001, 0.184844970703125, 0.0300581231713295, -0.037003278732299805, 0.013455740176141262, -0.11276454478502274, -0.057199738919734955, -0.14064088463783264, 0.09831485897302628, 0.3109143078327179, -0.16253401339054108, 0.19788289070129395, 0.343855619430542, -0.21696169674396515, 0.02352925017476082, -0.1805213838815689, 0.07932005077600479, -0.08973659574985504]"
0x3085254db0dadfaaa825be5441de49b7c50d4f40,"[-0.0784435123205185, 0.06408713012933731, -0.025808418169617653, 0.09361476451158524, 0.20734082162380219, 0.005679281894117594, -0.08157641440629959, 0.11189094185829163, -0.08077152818441391, 0.12430160492658615, -0.09308803826570511, 0.01590752974152565, 0.08896292001008987, -0.006717648822814226, 0.06870640814304352, -0.04086480289697647, -0.041133541613817215, 0.10928930342197418, 0.03903675079345703, -0.10809624195098877, -0.09097588807344437, -0.06651511788368225, -0.17545358836650848, 0.14926059544086456, 0.05996716767549515, 0.03238926827907562, 0.11887271702289581, 0.20355506241321564, -0.03645091503858566, 0.18015271425247192, -0.12674476206302643, 0.05043482407927513, -0.06388472020626068, 0.042965956032276154, -0.1377069056034088, 0.1846633404493332, -0.014946588315069675, 0.15098868310451508, -0.2298579216003418, -0.12569375336170197, 0.030096041038632393, 0.017269985750317574, -0.16983255743980408, 0.1103280559182167, -0.03929150849580765, 0.00945932138711214, -0.07310045510530472, 0.17453457415103912, 0.03237219154834747, -0.02994554117321968, 0.009732956066727638, -0.11777363717556, -0.0682678297162056, -0.14367161691188812, 0.09220952540636063, 0.31903135776519775, -0.1687033772468567, 0.20804928243160248, 0.35003694891929626, -0.2054862082004547, 0.012825589627027512, -0.18677112460136414, 0.07896861433982849, -0.08988488465547562]"
0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988,"[0.052098095417022705, -0.009889824315905571, 0.1831657439470291, 0.12907128036022186, 0.246075838804245, -0.012487287633121014, 0.04531985521316528, 0.07663071900606155, -0.09576920419931412, 0.022284865379333496, -0.060231175273656845, 0.17355242371559143, 0.11329396069049835, -0.009700859896838665, 0.121832475066185, -0.0025623678229749203, -0.02717737667262554, -0.08009786903858185, -0.045389994978904724, -0.03783244267106056, -0.0930691808462143, 0.009002032689750195, 0.006582396570593119, 0.1844729334115982, 0.13098649680614471, -0.04206523671746254, 0.05684499815106392, 0.23574665188789368, -0.12184815853834152, 0.1942339539527893, -0.18373164534568787, 0.020090708509087563, -0.2433592975139618, 0.016394516453146935, -0.16845235228538513, 0.21413639187812805, -0.030930794775485992, 0.10298248380422592, -0.16354575753211975, -0.004311937838792801, 0.10058712214231491, 0.015500698238611221, -0.05996522307395935, 0.17458362877368927, 0.09057436883449554, -0.09326448291540146, -0.14195632934570312, 0.19288119673728943, -0.16757072508335114, -0.06732305139303207, -0.04222409799695015, 0.08821996301412582, -0.2095557600259781, -0.00017184288299176842, 0.14251559972763062, 0.22552643716335297, 0.003292109351605177, 0.19971327483654022, 0.22519712150096893, -0.041360966861248016, -0.03584698215126991, -0.17278419435024261, -0.02849346213042736, -0.13014644384384155]"
