node,communities
0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xdad0b957bd4ecdb1f8b6d2608947ff2282cf856c,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x12b0f3843ba5d19cd3aa91fe1cb72605fa1d3925,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xf94b5c5651c888d928439ab6514b93944eee6f48,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x66761fa41377003622aee3c7675fc7b5c1c2fac5,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x741e97e4d946286b5f9495952c46de0620dcfedc,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x3085254db0dadfaaa825be5441de49b7c50d4f40,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
